Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
1,MBAPK,53.310,-,1.0,None,,,,,FM,5.00,,Located on Mt. Beacon
2,MBN,146.895,-,0.6,None,,,,,FM,5.00,,Located in Millbrook
3,MBN,146.970,-,-0.6,None,,,,,FM,5.00,,Transmitter and receiver on Mt. Beacon
4,MBN,147.045,-,0.6,None,,,,,FM,5.00,,Located in Highland
5,MBW,223.920,-,1.6,None,,,,,FM,5.00,,Located on Mt. Beacon
6,MBW,449.575,-,5.0,None,,,,,FM,5.00,,Located on Mt. Beacon
7,MBN,921.200,-,12.0,None,,,,,FM,5.00,,Located on Mt. Beacon
8,MBN,449.975,-,5.0,None,,,,,NFM,5.00,,"""DMR & FM modes; Color Code 11"
9,MBK,440.3125,-,-5.0,None,,,,,NFM,5.00,,"""DMR mode; Color Code 11"
10,OC Jail,460.4125,off,0.000,None,,,,,NFM,5.00,,Used by Sheriff
11,OC FD Pgng,154.205,off,0.000,None,,,,,NFM,5.00,,Paging for fire services
12,OC FG A,458.9875,off,0.000,None,,,,,NFM,5.00,,Primary fireground channel
13,OC EM FG,460.5875,off,0.000,None,,,,,NFM,5.00,,Alternate fireground channel
14,OC Cmd A,453.9625,off,0.000,None,,,,,NFM,5.00,,Primary command channel
15,OC Cmd B,465.5875,off,0.000,None,,,,,NFM,5.00,,Secondary command channel
16,OC FG B,458.2625,off,0.000,None,,,,,NFM,5.00,,Alternate fireground channel
17,OEP,157.450,off,0.000,None,,,,,NFM,5.00,,Simulcast EMS paging
18,OET,155.280,off,0.000,None,,,,,NFM,5.00,,Tactical operations channel
19,PGA,853.9875,off,0.000,None,,,,,NFM,5.00,,Public safety interop channel
20,BlmGrv Hwy,151.040,off,0.000,None,,,,,NFM,5.00,,Highway department communications
21,Cornw DPW,155.115,off,0.000,None,,,,,NFM,5.00,,Public works communications
22,G,156.165,off,0.000,None,,,,,NFM,5.00,,Dispatch for Greenwood Lake EMS
23,KJ EMS,155.955,off,0.000,None,,,,,NFM,5.00,,EMS dispatch for Kiryas Joel
24,MD,155.985,off,0.000,None,,,,,NFM,5.00,,Public works communications
25,NED,150.845,off,0.000,None,,,,,NFM,5.00,,Primary EMS dispatch
26,PJF,154.100,off,0.000,None,,,,,NFM,5.00,,City buses and DPW communications
27,WD,155.820,off,0.000,None,,,,,NFM,5.00,,Public works communications
28,!OC Jail,460.4125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Corrections operations"
29,!CoH DPW,154.965,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Cornwall-on-Hudson public works"
30,!KJ Vil Ops,158.805,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Village operations"
31,!KWD,158.160,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Water department"
32,!MH,154.055,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Highway department"
33,!ME,159.720,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Montgomery EMS dispatch"
34,!NW Highway,154.085,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Highway department"
35,!PJ EMO,154.815,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Emergency management"
36,!Tuxedo EMS,155.220,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Tuxedo EMS dispatch"
37,!Walden DPW,155.940,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public works operations"
38,!WO,154.4525,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Emergency management"
39,!WE,160.1175,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Woodbury EMS dispatch"
40,!WI,155.700,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Town interoperability"
41,!FO,453.0375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Florida FD operations"
42,!GrnwdLkFD,471.350,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Greenwood Lake fire operations"
43,!P,453.8875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Pine Island fire operations"
44,!Warwick FD,471.050,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Warwick fire operations"
45,!G,467.8125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Greenville fire police"
46,!GO,453.1875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Greenville/Johnson/Unionville ops"
47,!NHFD FG 1,453.6375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - New Hampton fireground 1"
48,!B8WR,460.225,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Battalion 8 water rescue"
49,!CF,461.250,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Cuddebackville fire operations"
50,!HO,463.600,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Huguenot fire operations"
51,!CFO,453.2875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Campbell Hall operations"
52,!GFO,453.700,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Goshen fire operations"
53,!Chester FG,476.9875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Chester fireground"
54,!PGA,853.9875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public safety interoperability"
55,!OC FP,453.1375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire police operations"
56,!OWS,465.5375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Water supply operations"
57,!OSO,465.6375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Special operations/LZ"
58,!OCC,453.6875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - City command operations"
59,!OETA,155.220,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS tactical alternate"
60,!Courts,154.895,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Court operations"
61,!GS,453.4875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Goshen secure center operations"
62,!MFD,154.310,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Middletown fire dispatch"
63,!MF,460.325,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire operations"
64,!B2EF,458.3125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Battalion 2 emergency operations"
65,!BF,460.525,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Bullville fire operations"
66,!NF,460.4625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Newburgh fire operations"
67,!WPF,460.150,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - West Point fire operations"
68,!Monroe FD,453.050,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Monroe fire operations"
69,!EOFP,151.5575,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Eastern Orange fire paging"
70,!KF,156.015,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Kiryas Joel fire dispatch"
71,!W,478.9125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Woodbury fire operations"
72,!BlmGrv Hwy,151.040,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Highway department operations"
73,!CPC,154.025,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Police car-to-car communications"
74,!Cornw DPW,155.115,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public works operations"
75,!G,156.165,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS dispatch operations"
76,!KJ EMS,155.955,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Hatzolah EMS dispatch"
77,!MD,155.985,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public works operations"
78,!NED,150.845,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Primary EMS dispatch"
79,!PJF,154.100,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - City operations"
80,!WD,155.820,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public works operations"
81,!CF,453.150,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire dispatch operations"
82,!NF1,154.340,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire dispatch primary"
83,!HF DPW,45.560,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Public works operations"
84,!HE,158.940,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS operations"
85,!OC FD Pgng,154.205,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire paging simulcast"
86,!OC FG A,458.9875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Primary fireground channel"
87,!OC EM FG,460.5875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Emergency fireground operations"
88,!OC Cmd A,453.9625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Primary command channel"
89,!OC Cmd B,465.5875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Secondary command channel"
90,!OC FG B,458.2625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Alternate fireground channel"
91,!OEP,157.450,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS paging simulcast"
92,!OET,155.280,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS tactical operations"
93,!NYPD CW 1,470.6875,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - NYPD citywide dispatch 1"
94,!NETG,473.6875,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Emergency Service Unit primary tactical"
95,!NETH,473.7125,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Emergency Service Unit secondary tactical"
96,!FFT1,486.1125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY fireground tactical 1"
97,!FFC1,485.1875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY fireground command 1"
98,!FHR,483.0125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - High-rise operations repeater"
99,!FDNY Emerg,486.7375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY emergency operations"
100,!NYPD IAB,470.7625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Internal Affairs Bureau"
101,!NVE,470.6375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - VIP escort operations"
102,!NYPD WTC,470.6625,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - World Trade Center patrols"
103,!NYMAC 1,482.6875,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Metropolitan Advisory Committee 1"
104,!NYMAC 2,482.7125,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Metropolitan Advisory Committee 2"
105,!EBND,483.20625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Bronx North dispatch"
106,!EBSD,482.76875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Bronx South dispatch"
107,!EBCD,482.50625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Brooklyn Central dispatch"
108,!EBND,483.28125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Brooklyn North dispatch"
109,!EBSD,483.29375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Brooklyn South dispatch"
110,!EMCD,482.98125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Manhattan Central dispatch"
111,!EMND,482.75625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Manhattan North dispatch"
112,!EMSD,483.21875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Manhattan South dispatch"
113,!EQED,483.03125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Queens East dispatch"
114,!EQWD,482.51875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Queens West dispatch"
115,!ESD,482.24375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS Staten Island dispatch"
116,!EMS CW 1,482.16875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS citywide dispatch 1"
117,!EMS CW 2,482.21875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - EMS citywide dispatch 2"
118,!NYPD CW 2,470.7125,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - NYPD citywide dispatch 2"
119,!NYPD CW 3,470.8625,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - NYPD citywide dispatch 3"
120,!NYPD CW 4,470.8875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - NYPD citywide dispatch 4"
121,!NYPD SOD,470.8375,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Special Operations Division"
122,!NT,470.8125,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Traffic Division/Highway units"
123,!NDC,470.7375,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Detective citywide operations"
124,!NYPD Tac A,485.6125,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Patrol tactical operations"
125,!FBD,482.00625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY Bronx dispatch"
126,!FBD,482.01875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY Brooklyn dispatch"
127,!FMD,482.10625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY Manhattan dispatch"
128,!FQD,482.03125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY Queens dispatch"
129,!FSD,482.04375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY Staten Island dispatch"
130,!FDNY CW1,482.23125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY citywide dispatch 1"
131,!FDNY CW2,483.38125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - FDNY citywide dispatch 2"
132,!T,158.760,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Sheriff primary dispatch"
133,!TF4,46.320,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire tactical operations"
134,!TF5,46.260,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire tactical operations"
135,!TF6,46.420,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire tactical operations"
136,!TF1,453.0375,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fireground command operations"
137,!TF2,453.0875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fireground command operations"
138,!TF3,453.1125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fireground command operations"
139,!TF4,453.8875,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fireground command operations"
140,!TF1,154.100,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fire operations"
141,!TF2,154.145,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fire operations"
142,!TF3,154.295,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fire operations"
143,!WF1,156.0675,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Waverly-Barton fire tactical"
144,!WF2,159.0075,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Waverly-Barton fire tactical"
145,!TS3,155.520,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Sheriff/Owego PD channel"
146,!TS4,154.725,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Waverly PD dispatch"
147,!TF1,46.200,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire dispatch primary"
148,!TF2,46.220,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire mutual aid"
149,!TF3,46.280,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire police operations"
150,!TFD,453.350,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire dispatch rebroadcast"
151,!Candor Amb,152.315,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Candor ambulance operations"
152,!TiogaCo PS,154.4075,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public safety tactical"
153,!T,156.1725,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Public safety tactical"
154,!TH,159.120,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County highway department"
155,!DCSO Disp,155.640,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Sheriff primary dispatch"
156,!DHT,460.525,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Hazardous Materials Team"
157,!DFP,46.360,off,0.000,None,,,,,FM,5.00,,"""LISTEN ONLY - Fire pager channel"
158,!D9TH,155.280,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - 911 to hospital comms"
159,!DCCS Ch 1,154.755,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Court security operations"
160,!DCCS Ch 2,155.310,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Court security operations"
161,!DP,151.325,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Poughkeepsie/Beacon courts"
162,!RCM,464.050,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Red Cross Millerton ops"
163,!RCH,463.450,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Red Cross Highland ops"
164,!DM9A,462.950,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Med-9 ALS coordination"
165,!DFI,460.600,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire investigation division"
166,!DC,159.240,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Sheriff car-to-car ops"
167,!DTF,465.575,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - Fire training operations"
168,!DC FG 5/6,453.050,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fireground ops 5/6"
169,!DC FG 7/8,453.450,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fireground ops 7/8"
170,!DC FG 9/10,453.625,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fireground ops 9/10"
171,!DFTA,453.600,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County tactical A"
172,!DFTB,453.825,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County tactical B"
173,!DFP,453.9125,off,0.000,None,,,,,NFM,5.00,,"""LISTEN ONLY - County fire police ops"
